STATE/UT,DISTRICT,TOTAL IPC CRIMES,CRIME_RATE
A & N ISLANDS,A and N ISLANDS,807,0.08866183256427158
A & N ISLANDS,ANDAMAN,7377,0.8104812129202373
A & N ISLANDS,CAR,24,0.0026367831245880024
A & N ISLANDS,NICOBAR,235,0.025818501428257527
A & N ISLANDS,NORTH,115,0.012634585805317513
A & N ISLANDS,SOUTH,544,0.05976708415732806
A & N ISLANDS,TOTAL,9102,1.0
ANDHRA PRADESH,ADILABAD,61959,0.030688253133635233
ANDHRA PRADESH,ANANTAPUR,59927,0.02968180483124903
ANDHRA PRADESH,CHITTOOR,75471,0.03738073810501436
ANDHRA PRADESH,CUDDAPAH,58147,0.02880017196793828
ANDHRA PRADESH,CYBERABAD,141743,0.07020521738441322
ANDHRA PRADESH,EAST GODAVARI,93193,0.04615843338793183
ANDHRA PRADESH,GUNTAKAL RLY.,3232,0.0016008075360788437
ANDHRA PRADESH,GUNTUR,97091,0.04808911029871009
ANDHRA PRADESH,GUNTUR URBAN,11828,0.005858400846763788
ANDHRA PRADESH,HYDERABAD CITY,202931,0.10051159471040094
ANDHRA PRADESH,KARIMNAGAR,96728,0.04790931663051807
ANDHRA PRADESH,KHAMMAM,68903,0.03412761189926998
ANDHRA PRADESH,KRISHNA,67845,0.033603585174897636
ANDHRA PRADESH,KURNOOL,73883,0.036594202719094436
ANDHRA PRADESH,MAHABOOBNAGAR,71938,0.035630845461150945
ANDHRA PRADESH,MEDAK,61927,0.030672403554070096
ANDHRA PRADESH,NALGONDA,85368,0.042282715884894406
ANDHRA PRADESH,NELLORE,71475,0.03540152185681787
ANDHRA PRADESH,NIZAMABAD,61912,0.03066497406364894
ANDHRA PRADESH,PRAKASHAM,60364,0.029898250652185435
ANDHRA PRADESH,RAJAHMUNDRY,6288,0.0031144423845494338
ANDHRA PRADESH,RANGA REDDY,41037,0.020325599894204058
ANDHRA PRADESH,SECUNDERABAD RLY.,6163,0.003052529964373117
ANDHRA PRADESH,SRIKAKULAM,40293,0.019957097169314618
ANDHRA PRADESH,TIRUPATHI URBAN,8164,0.004043623986555594
ANDHRA PRADESH,TOTAL,2018981,1.0
ANDHRA PRADESH,VIJAYAWADA,39350,0.019490029871504486
ANDHRA PRADESH,VIJAYAWADA CITY,42500,0.021050222859947666
ANDHRA PRADESH,VIJAYAWADA RLY.,5216,0.002583481469117342
ANDHRA PRADESH,VISAKHA RURAL,35912,0.017787190666975074
ANDHRA PRADESH,VISAKHAPATNAM,55171,0.027326161068380535
ANDHRA PRADESH,VIZIANAGARAM,37750,0.018697550893247632
ANDHRA PRADESH,WARANGAL,75347,0.037319320984199454
ANDHRA PRADESH,WARANGAL URBAN,9896,0.0049014824805186374
ANDHRA PRADESH,WEST GODAVARI,90029,0.0445913062084289
ARUNACHAL PRADESH,ANJAW,85,0.0030739187038912193
ARUNACHAL PRADESH,CHANGLANG,2201,0.0795964125560538
ARUNACHAL PRADESH,DIBANG VALLEY,1444,0.052220454216693184
ARUNACHAL PRADESH,K/KUMEY,507,0.018335020974974685
ARUNACHAL PRADESH,KAMENG EAST,1481,0.053558512946622304
ARUNACHAL PRADESH,KAMENG WEST,1297,0.04690438304643425
ARUNACHAL PRADESH,LOHIT,2154,0.07789671633154925
ARUNACHAL PRADESH,PAPUM PARE,5853,0.21166642557500362
ARUNACHAL PRADESH,RURAL,298,0.01077679733834804
ARUNACHAL PRADESH,SIANG EAST,2874,0.10393461594098076
ARUNACHAL PRADESH,SIANG UPPER,716,0.02589324461160133
ARUNACHAL PRADESH,SIANG WEST,3160,0.11427744828583827
ARUNACHAL PRADESH,SUBANSIRI LOWER,1460,0.052799074208013885
ARUNACHAL PRADESH,SUBANSIRI UPPER,1767,0.06390134529147982
ARUNACHAL PRADESH,TAWANG,580,0.02097497468537538
ARUNACHAL PRADESH,TIRAP,1627,0.05883842036742369
ARUNACHAL PRADESH,TOTAL,27652,1.0
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,148,0.005352234919716477
ASSAM,BAKSA,664,0.0011108062713713104
ASSAM,BARPETA,28180,0.04714235049283664
ASSAM,BASKA,3269,0.005468713405290382
ASSAM,BIEO,16,2.6766416177621937e-05
ASSAM,BONGAIGAON,12893,0.021568712736129977
ASSAM,C.I.D.,384,0.0006423939882629265
ASSAM,CACHAR,48300,0.08080111883619623
ASSAM,CHIRANG,4505,0.007536419055011677
ASSAM,DARRANG,20878,0.03492682730977443
ASSAM,DHEMAJI,11695,0.019564577324830534
ASSAM,DHUBRI,35176,0.05884596596650183
ASSAM,DIBRUGARH,25682,0.04296344376710541
ASSAM,G.R.P.,3589,0.006004041728842821
ASSAM,GOALPARA,17342,0.02901144933451998
ASSAM,GOLAGHAT,18697,0.031278230204562336
ASSAM,GUWAHATI CITY,76930,0.12869627478402848
ASSAM,HAILAKANDI,12438,0.020807542776078852
ASSAM,HAMREN,150,0.00025093515166520566
ASSAM,JORHAT,17883,0.02991648878152582
ASSAM,KAMRUP,26853,0.04492241085110512
ASSAM,KARBI ANGLONG,8154,0.01364083484452058
ASSAM,KARIMGANJ,14965,0.02503496363113202
ASSAM,KOKRAJHAR,16995,0.028430952683667802
ASSAM,LAKHIMPUR,21468,0.035913838906324234
ASSAM,MORIGAON,13375,0.02237505102348084
ASSAM,N.C.HILLS,2721,0.004551963651206831
ASSAM,NAGAON,51277,0.08578134514624501
ASSAM,NALBARI,14382,0.024059662341659918
ASSAM,R.P.O.,1016,0.001699667427278993
ASSAM,SIBSAGAR,24118,0.040347026585742865
ASSAM,SONITPUR,33647,0.056288100320527834
ASSAM,TINSUKIA,23896,0.03997564256127836
ASSAM,TOTAL,597764,1.0
ASSAM,UDALGURI,6226,0.010415481695117136
BIHAR,ARARIA,28415,0.02110610394616922
BIHAR,ARWAL,7673,0.005699353706808251
BIHAR,AURANGABAD,31944,0.023727375838691875
BIHAR,BAGAHA,16720,0.012419287629067372
BIHAR,BANKA,19347,0.014370571636337707
BIHAR,BEGUSARAI,38025,0.0282442232114406
BIHAR,BETTIAH,42395,0.03149017338721957
BIHAR,BHABHUA,19288,0.014326747595062887
BIHAR,BHAGALPUR,38436,0.028549505939643154
BIHAR,BHOJPUR,40506,0.03008706128606477
BIHAR,BUXAR,22097,0.01641321762796063
BIHAR,DARBHANGA,45383,0.03370960110466295
BIHAR,GAYA,48235,0.03582801069306607
BIHAR,GOPALGANJ,31510,0.023405009162195747
BIHAR,JAMALPUR RLY.,2839,0.002108753443715447
BIHAR,JAMUI,18674,0.013870680453660533
BIHAR,JEHANABAD,17432,0.012948147245807562
BIHAR,KATIHAR,29828,0.02215565259568311
BIHAR,KATIHAR RLY.,5176,0.0038446311464146363
BIHAR,KHAGARIA,19335,0.014361658272010625
BIHAR,KISHANGANJ,13459,0.00999708087318288
BIHAR,LAKHISARAI,12557,0.009327092987930562
BIHAR,MADHEPURA,17472,0.012977858460231168
BIHAR,MADHUBANI,42083,0.03125842591471544
BIHAR,MOTIHARI,60939,0.04526429239400338
BIHAR,MUNGER,22716,0.016872998671165935
BIHAR,MUZAFFARPUR,69252,0.051439025531589334
BIHAR,MUZAFFARPUR RLY.,7113,0.005283396704877765
BIHAR,NALANDA,45663,0.0339175796056282
BIHAR,NAUGACHIA,13218,0.009818070806280653
BIHAR,NAWADAH,22684,0.01684922969962705
BIHAR,PATNA,147542,0.10959129996219248
BIHAR,PATNA RLY.,12653,0.009398399902547218
BIHAR,PURNEA,31399,0.023322560542170242
BIHAR,ROHTAS,41706,0.030978397718772956
BIHAR,SAHARSA,20316,0.015090325805749566
BIHAR,SAMASTIPUR,42318,0.03143297929945413
BIHAR,SARAN,47474,0.035262754838656964
BIHAR,SHEIKHPURA,10367,0.007700403998238125
BIHAR,SHEOHAR,5953,0.004421771486593186
BIHAR,SITAMARHI,35390,0.026286996961285544
BIHAR,SIWAN,30855,0.022918488026009196
BIHAR,SUPAUL,20702,0.015377039024937365
BIHAR,TOTAL,1346293,1.0
BIHAR,VAISHALI,49204,0.03654776486247793
CHANDIGARH,CHANDIGARH,40807,1.0
CHANDIGARH,TOTAL,40807,1.0
CHHATTISGARH,BALOD,1117,0.0019909915209071934
CHHATTISGARH,BALODA BAZAR,2371,0.004226178062731384
CHHATTISGARH,BALRAMPUR,7891,0.01406527671573739
CHHATTISGARH,BEMETARA,1323,0.0023581752749867652
CHHATTISGARH,BILASPUR,65040,0.11593024934628815
CHHATTISGARH,BIZAPUR,3933,0.007010357790266778
CHHATTISGARH,DANTEWARA,8092,0.014423548242776195
CHHATTISGARH,DHAMTARI,16040,0.028590424346778318
CHHATTISGARH,DURG,87167,0.15537041889249537
CHHATTISGARH,GARIYABAND,1518,0.0027057521295766516
CHHATTISGARH,GRP RAIPUR,4007,0.00714225875047012
CHHATTISGARH,JAGDALPUR,24443,0.043568313111490176
CHHATTISGARH,JANJGIR,31993,0.05702577594304731
CHHATTISGARH,JASHPUR,12327,0.021972204546305257
CHHATTISGARH,KABIRDHAM,13753,0.024513971698331808
CHHATTISGARH,KANKER,11795,0.02102394358916772
