NAME_1,NAME_2,STATE/UT,DISTRICT,CRIME_RATE
A & N ISLANDS,ANDAMAN,A & N ISLANDS,ANDAMAN,0.8104812129202373
A & N ISLANDS,NICOBAR,A & N ISLANDS,NICOBAR,0.025818501428257527
ANDHRA PRADESH,ADILABAD,ANDHRA PRADESH,ADILABAD,0.030688253133635233
ANDHRA PRADESH,ANANTAPUR,ANDHRA PRADESH,ANANTAPUR,0.02968180483124903
ANDHRA PRADESH,CHITTOOR,ANDHRA PRADESH,CHITTOOR,0.03738073810501436
ANDHRA PRADESH,CUDDAPAH,ANDHRA PRADESH,CUDDAPAH,0.02880017196793828
ANDHRA PRADESH,EAST GODAVARI,ANDHRA PRADESH,EAST GODAVARI,0.04615843338793183
ANDHRA PRADESH,GUNTUR,ANDHRA PRADESH,GUNTUR,0.04808911029871009
ANDHRA PRADESH,HYDERABAD CITY,ANDHRA PRADESH,HYDERABAD CITY,0.10051159471040094
ANDHRA PRADESH,KARIMNAGAR,ANDHRA PRADESH,KARIMNAGAR,0.04790931663051807
ANDHRA PRADESH,KHAMMAM,ANDHRA PRADESH,KHAMMAM,0.03412761189926998
ANDHRA PRADESH,KRISHNA,ANDHRA PRADESH,KRISHNA,0.033603585174897636
ANDHRA PRADESH,KURNOOL,ANDHRA PRADESH,KURNOOL,0.036594202719094436
ANDHRA PRADESH,MAHABOOBNAGAR,ANDHRA PRADESH,MAHABOOBNAGAR,0.035630845461150945
ANDHRA PRADESH,MEDAK,ANDHRA PRADESH,MEDAK,0.030672403554070096
ANDHRA PRADESH,NALGONDA,ANDHRA PRADESH,NALGONDA,0.042282715884894406
ANDHRA PRADESH,NELLORE,ANDHRA PRADESH,NELLORE,0.03540152185681787
ANDHRA PRADESH,NIZAMABAD,ANDHRA PRADESH,NIZAMABAD,0.03066497406364894
ANDHRA PRADESH,PRAKASHAM,ANDHRA PRADESH,PRAKASHAM,0.029898250652185435
ANDHRA PRADESH,RANGA REDDY,ANDHRA PRADESH,RANGA REDDY,0.020325599894204058
ANDHRA PRADESH,SRIKAKULAM,ANDHRA PRADESH,SRIKAKULAM,0.019957097169314618
ANDHRA PRADESH,VISAKHAPATNAM,ANDHRA PRADESH,VISAKHAPATNAM,0.027326161068380535
ANDHRA PRADESH,VIZIANAGARAM,ANDHRA PRADESH,VIZIANAGARAM,0.018697550893247632
ANDHRA PRADESH,WARANGAL,ANDHRA PRADESH,WARANGAL,0.037319320984199454
ANDHRA PRADESH,WEST GODAVARI,ANDHRA PRADESH,WEST GODAVARI,0.0445913062084289
ARUNACHAL PRADESH,CHANGLANG,ARUNACHAL PRADESH,CHANGLANG,0.0795964125560538
ARUNACHAL PRADESH,KAMENG EAST,ARUNACHAL PRADESH,KAMENG EAST,0.053558512946622304
ARUNACHAL PRADESH,SIANG EAST,ARUNACHAL PRADESH,SIANG EAST,0.10393461594098076
ARUNACHAL PRADESH,K/KUMEY,ARUNACHAL PRADESH,K/KUMEY,0.018335020974974685
ARUNACHAL PRADESH,LOHIT,ARUNACHAL PRADESH,LOHIT,0.07789671633154925
ARUNACHAL PRADESH,DIBANG VALLEY,ARUNACHAL PRADESH,DIBANG VALLEY,0.052220454216693184
ARUNACHAL PRADESH,SUBANSIRI LOWER,ARUNACHAL PRADESH,SUBANSIRI LOWER,0.052799074208013885
ARUNACHAL PRADESH,PAPUM PARE,ARUNACHAL PRADESH,PAPUM PARE,0.21166642557500362
ARUNACHAL PRADESH,TAWANG,ARUNACHAL PRADESH,TAWANG,0.02097497468537538
ARUNACHAL PRADESH,TIRAP,ARUNACHAL PRADESH,TIRAP,0.05883842036742369
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,0.005352234919716477
ARUNACHAL PRADESH,SIANG UPPER,ARUNACHAL PRADESH,SIANG UPPER,0.02589324461160133
ARUNACHAL PRADESH,SUBANSIRI UPPER,ARUNACHAL PRADESH,SUBANSIRI UPPER,0.06390134529147982
ARUNACHAL PRADESH,KAMENG WEST,ARUNACHAL PRADESH,KAMENG WEST,0.04690438304643425
ARUNACHAL PRADESH,SIANG WEST,ARUNACHAL PRADESH,SIANG WEST,0.11427744828583827
ASSAM,BARPETA,ASSAM,BARPETA,0.04714235049283664
ASSAM,BONGAIGAON,ASSAM,BONGAIGAON,0.021568712736129977
ASSAM,CACHAR,ASSAM,CACHAR,0.08080111883619623
ASSAM,DARRANG,ASSAM,DARRANG,0.03492682730977443
